question_id,concept,difficulty,bloom_level,avg_solve_time
1,Concept_2,Easy,Analyze,131.1258320887879
2,Concept_4,Easy,Apply,286.69286273067735
3,Concept_2,Hard,Understand,227.63836428907936
4,Concept_7,Easy,Understand,191.6377907331999
5,Concept_2,Easy,Apply,72.12503291945785
6,Concept_1,Hard,Apply,72.11852049077471
7,Concept_7,Easy,Evaluate,45.682575285413854
8,Concept_5,Easy,Apply,263.8675593592325
9,Concept_7,Medium,Analyze,192.30105317066636
10,Concept_3,Easy,Analyze,221.17959600493228
11,Concept_2,Easy,Evaluate,35.55781345986666
12,Concept_2,Medium,Analyze,291.87566008373847
13,Concept_5,Easy,Evaluate,254.75951301611386
14,Concept_2,Medium,Understand,87.33155988313456
15,Concept_5,Hard,Analyze,79.09274114591716
16,Concept_4,Hard,Understand,79.51921766042713
17,Concept_1,Hard,Apply,112.14540559907519
18,Concept_5,Easy,Apply,171.6842365407042
19,Concept_2,Medium,Analyze,146.62515503337124
20,Concept_8,Hard,Analyze,108.63186785347132
21,Concept_3,Medium,Analyze,195.20028157504245
22,Concept_4,Hard,Analyze,67.6633423760513
23,Concept_2,Hard,Apply,108.87905510450891
24,Concept_4,Easy,Evaluate,128.91769768929674
25,Concept_7,Medium,Apply,153.1388957385997
26,Concept_6,Easy,Apply,241.99750957611369
27,Concept_1,Medium,Evaluate,83.91192118275713
28,Concept_5,Easy,Apply,168.84329837167513
29,Concept_6,Easy,Evaluate,189.95193359275146
30,Concept_7,Hard,Evaluate,42.541611434399385
31,Concept_3,Medium,Apply,194.03711001338837
32,Concept_4,Hard,Analyze,76.04151339556871
33,Concept_7,Hard,Evaluate,47.56393010602547
34,Concept_6,Easy,Apply,286.19909505839996
35,Concept_8,Easy,Understand,290.720648930131
36,Concept_2,Easy,Apply,248.26728399144451
37,Concept_7,Hard,Understand,112.24571767681009
38,Concept_7,Medium,Evaluate,56.371470781723644
39,Concept_5,Hard,Understand,214.74291715828235
40,Concept_2,Hard,Analyze,148.84117330969235
41,Concept_6,Easy,Analyze,62.950323408090284
42,Concept_7,Easy,Evaluate,163.69776573004296
43,Concept_1,Hard,Analyze,39.28490070110897
44,Concept_3,Hard,Understand,275.51650856127117
45,Concept_5,Hard,Apply,99.87059503200457
46,Concept_3,Medium,Apply,208.88101677557512
47,Concept_1,Hard,Analyze,114.16199054414096
48,Concept_8,Easy,Understand,170.4183657180089
49,Concept_6,Medium,Apply,177.6117754226855
50,Concept_1,Easy,Understand,79.9107029918923
51,Concept_2,Hard,Evaluate,291.7878494964308
52,Concept_2,Hard,Apply,239.28586230750093
53,Concept_3,Hard,Evaluate,283.6647142223311
54,Concept_3,Medium,Evaluate,271.6033846154652
55,Concept_4,Hard,Apply,191.432994278993
56,Concept_5,Medium,Analyze,278.90604345624155
57,Concept_8,Hard,Evaluate,53.892975554018264
58,Concept_2,Easy,Apply,82.9153728531692
59,Concept_2,Medium,Understand,42.21136800584528
60,Concept_4,Hard,Apply,117.83918930608137
61,Concept_1,Easy,Understand,134.94286821616015
62,Concept_4,Easy,Understand,103.26423857895189
63,Concept_6,Easy,Apply,253.75912747102092
64,Concept_5,Hard,Evaluate,126.32339820726911
65,Concept_4,Hard,Apply,105.85231761559281
66,Concept_8,Easy,Evaluate,176.52794245272707
67,Concept_7,Easy,Understand,68.04954074318591
68,Concept_2,Hard,Evaluate,246.5931848035907
69,Concept_6,Medium,Evaluate,50.12867379353813
70,Concept_8,Hard,Understand,296.45947288213966
71,Concept_2,Easy,Evaluate,238.5060877100975
72,Concept_6,Easy,Apply,83.65323401422654
73,Concept_4,Easy,Evaluate,31.490971623372648
74,Concept_3,Medium,Apply,250.17458568280523
75,Concept_5,Medium,Apply,220.8514828388566
76,Concept_2,Medium,Understand,226.83193537106658
77,Concept_1,Hard,Understand,238.24299360520536
78,Concept_2,Easy,Apply,49.9920559682044
79,Concept_7,Medium,Evaluate,126.7857467069536
80,Concept_4,Medium,Understand,61.28464607178502
