student_id,question_id,concept,difficulty,score,time_spent,attempt_no,timestamp
3,71,Concept_2,Easy,1,164,1,2025-11-29 19:12:39.619001
16,9,Concept_7,Medium,0,230,1,2025-11-29 19:12:39.823499
20,42,Concept_7,Easy,0,245,1,2025-11-29 19:12:39.882921
37,25,Concept_7,Medium,1,122,2,2025-11-29 19:12:40.136725
35,46,Concept_3,Medium,0,300,1,2025-11-29 20:12:40.106935
47,48,Concept_8,Easy,1,127,1,2025-11-29 20:12:40.292330
50,17,Concept_1,Hard,1,112,2,2025-11-29 20:12:40.336862
12,13,Concept_5,Easy,1,193,1,2025-11-29 21:12:39.761491
40,67,Concept_7,Easy,0,95,1,2025-11-29 21:12:40.181313
46,75,Concept_5,Medium,0,245,2,2025-11-29 21:12:40.277515
41,60,Concept_4,Hard,0,133,1,2025-11-29 22:12:40.196469
6,60,Concept_4,Hard,0,170,1,2025-11-29 23:12:39.666232
10,24,Concept_4,Easy,1,111,2,2025-11-29 23:12:39.730441
17,80,Concept_4,Medium,0,57,2,2025-11-29 23:12:39.838179
21,37,Concept_7,Hard,0,125,1,2025-11-29 23:12:39.897870
32,69,Concept_6,Medium,0,43,1,2025-11-29 23:12:40.062413
42,42,Concept_7,Easy,0,186,2,2025-11-29 23:12:40.212073
44,80,Concept_4,Medium,0,76,2,2025-11-29 23:12:40.247780
38,3,Concept_2,Hard,0,252,1,2025-11-30 00:12:40.151616
29,26,Concept_6,Easy,0,359,1,2025-11-30 01:12:40.017349
2,80,Concept_4,Medium,1,43,3,2025-11-30 02:12:39.603035
39,74,Concept_3,Medium,0,254,1,2025-11-30 02:12:40.166327
4,39,Concept_5,Hard,0,219,1,2025-11-30 04:12:39.635145
11,39,Concept_5,Hard,0,229,1,2025-11-30 07:12:39.746056
25,5,Concept_2,Easy,1,71,1,2025-11-30 07:12:39.957763
28,59,Concept_2,Medium,1,39,1,2025-11-30 07:12:40.002317
48,53,Concept_3,Hard,0,274,1,2025-11-30 07:12:40.307185
45,5,Concept_2,Easy,0,95,1,2025-11-30 08:12:40.262660
7,27,Concept_1,Medium,1,75,1,2025-11-30 09:12:39.682409
14,48,Concept_8,Easy,1,135,3,2025-11-30 10:12:39.793753
23,60,Concept_4,Hard,0,167,1,2025-11-30 10:12:39.927715
31,16,Concept_4,Hard,1,46,2,2025-11-30 10:12:40.047495
26,63,Concept_6,Easy,0,372,1,2025-11-30 11:12:39.972627
43,37,Concept_7,Hard,0,96,1,2025-11-30 11:12:40.232937
